system,system_label,case,case_index,description,replicate,seed,config,steric,microtubules,mt_mode,actin_mode,division,steps,frames,duration_s,box_x,box_y,box_z,scale_factor,material_scale,actin_total_polymer,actin_max_length,fixed_mt_length,mt_fibers_per_site
large_system,large 24x24x1.2 um,03_growing_mt_uniform_actin_long,3,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",r0001,72301,large_system/03_growing_mt_uniform_actin_long/r0001/config.cym,1,True,growing,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,03_growing_mt_uniform_actin_long,3,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",r0002,72302,large_system/03_growing_mt_uniform_actin_long/r0002/config.cym,1,True,growing,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,03_growing_mt_uniform_actin_long,3,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",r0003,72303,large_system/03_growing_mt_uniform_actin_long/r0003/config.cym,1,True,growing,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,03_growing_mt_uniform_actin_long,3,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",r0004,72304,large_system/03_growing_mt_uniform_actin_long/r0004/config.cym,1,True,growing,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,03_growing_mt_uniform_actin_long,3,"Growing tethered MT asters from short seeds, uniform free actin, doubled actin pool.",r0005,72305,large_system/03_growing_mt_uniform_actin_long/r0005/config.cym,1,True,growing,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0001,72401,large_system/04_fixed_mt_perinuclear_actin_long/r0001/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0002,72402,large_system/04_fixed_mt_perinuclear_actin_long/r0002/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0003,72403,large_system/04_fixed_mt_perinuclear_actin_long/r0003/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0004,72404,large_system/04_fixed_mt_perinuclear_actin_long/r0004/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,04_fixed_mt_perinuclear_actin_long,4,"Fixed-length tethered MT asters, free perinuclear actin, doubled actin pool.",r0005,72405,large_system/04_fixed_mt_perinuclear_actin_long/r0005/config.cym,1,True,fixed,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0001,72501,large_system/05_growing_mt_perinuclear_actin_long/r0001/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,05_growing_mt_perinuclear_actin_long,5,"Growing tethered MT asters from short seeds, free perinuclear actin, doubled actin pool.",r0002,72502,large_system/05_growing_mt_perinuclear_actin_long/r0002/config.cym,1,True,growing,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
