case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
05_symmetric_aster_fixed_plus_motors,12,12.0,0.2,1,-0.0593,nan,-0.0068,nan,-0.0047,nan,0.05987336636602288,nan
05_symmetric_aster_fixed_plus_motors,13,13.0,0.21666666666666667,1,-0.0682,nan,-0.0109,nan,-0.0055,nan,0.06928419733243649,nan
05_symmetric_aster_fixed_plus_motors,14,14.0,0.23333333333333334,1,-0.0679,nan,-0.0047,nan,-0.0055,nan,0.06828433202426454,nan
05_symmetric_aster_fixed_plus_motors,15,15.0,0.25,1,-0.0661,nan,-0.0071,nan,-0.0102,nan,0.067258159356319,nan
05_symmetric_aster_fixed_plus_motors,16,16.0,0.26666666666666666,1,-0.0658,nan,-0.0063,nan,-0.0059,nan,0.06636369489412114,nan
05_symmetric_aster_fixed_plus_motors,17,17.0,0.2833333333333333,1,-0.0686,nan,-0.0081,nan,-0.0051,nan,0.06926456525525876,nan
05_symmetric_aster_fixed_plus_motors,18,18.0,0.3,1,-0.0749,nan,-0.0077,nan,-0.0086,nan,0.07578429916546038,nan
05_symmetric_aster_fixed_plus_motors,19,19.0,0.31666666666666665,1,-0.083,nan,-0.0121,nan,-0.0099,nan,0.08445957612964915,nan
05_symmetric_aster_fixed_plus_motors,20,20.0,0.3333333333333333,1,-0.0867,nan,-0.008,nan,-0.0056,nan,0.08724820915067541,nan
06_plus_x_cap_fixed_minus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
06_plus_x_cap_fixed_minus_motors,1,1.0,0.016666666666666666,1,0.0544,nan,-0.0048,nan,-0.0005,nan,0.0546136429841482,nan
06_plus_x_cap_fixed_minus_motors,2,2.0,0.03333333333333333,1,0.2459,nan,-0.0117,nan,-0.0023,nan,0.24618893151398988,nan
06_plus_x_cap_fixed_minus_motors,3,3.0,0.05,1,0.5356,nan,-0.0246,nan,0.0011,nan,0.5361657672772479,nan
06_plus_x_cap_fixed_minus_motors,4,4.0,0.06666666666666667,1,0.8227,nan,-0.0287,nan,0.0126,nan,0.8232968723370689,nan
06_plus_x_cap_fixed_minus_motors,5,5.0,0.08333333333333333,1,1.0656,nan,-0.0281,nan,0.0174,nan,1.0661124377850586,nan
06_plus_x_cap_fixed_minus_motors,6,6.0,0.1,1,1.1767,nan,-0.0431,nan,0.0165,nan,1.1776046662611355,nan
06_plus_x_cap_fixed_minus_motors,7,7.0,0.11666666666666667,1,1.2594,nan,-0.0331,nan,0.0222,nan,1.2600304797900723,nan
06_plus_x_cap_fixed_minus_motors,8,8.0,0.13333333333333333,1,1.3352,nan,-0.0188,nan,0.029,nan,1.3356472139004372,nan
06_plus_x_cap_fixed_minus_motors,9,9.0,0.15,1,1.3911,nan,-0.0148,nan,0.0286,nan,1.391472676699043,nan
06_plus_x_cap_fixed_minus_motors,10,10.0,0.16666666666666666,1,1.4415,nan,-0.0067,nan,0.0256,nan,1.4417428688916758,nan
06_plus_x_cap_fixed_minus_motors,11,11.0,0.18333333333333332,1,1.4801,nan,-0.0055,nan,0.0258,nan,1.4803350634231427,nan
06_plus_x_cap_fixed_minus_motors,12,12.0,0.2,1,1.5125,nan,-0.0028,nan,0.0332,nan,1.5128669240881696,nan
06_plus_x_cap_fixed_minus_motors,13,13.0,0.21666666666666667,1,1.5239,nan,-0.0023,nan,0.03,nan,1.5241970017028639,nan
06_plus_x_cap_fixed_minus_motors,14,14.0,0.23333333333333334,1,1.5406,nan,0.0026,nan,0.0282,nan,1.5408602662149478,nan
06_plus_x_cap_fixed_minus_motors,15,15.0,0.25,1,1.5567,nan,0.0103,nan,0.0319,nan,1.5570608819182377,nan
06_plus_x_cap_fixed_minus_motors,16,16.0,0.26666666666666666,1,1.5634,nan,0.0067,nan,0.031,nan,1.5637216664099785,nan
06_plus_x_cap_fixed_minus_motors,17,17.0,0.2833333333333333,1,1.5734,nan,0.0073,nan,0.0347,nan,1.573799523446363,nan
06_plus_x_cap_fixed_minus_motors,18,18.0,0.3,1,1.5844,nan,0.0051,nan,0.0347,nan,1.584788143569985,nan
06_plus_x_cap_fixed_minus_motors,19,19.0,0.31666666666666665,1,1.5903,nan,0.0097,nan,0.0337,nan,1.5906866033257463,nan
06_plus_x_cap_fixed_minus_motors,20,20.0,0.3333333333333333,1,1.5965,nan,0.0109,nan,0.0349,nan,1.5969186172125367,nan
07_symmetric_aster_fixed_minus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
07_symmetric_aster_fixed_minus_motors,1,1.0,0.016666666666666666,1,0.0212,nan,0.0009,nan,0.0011,nan,0.021247588098417196,nan
07_symmetric_aster_fixed_minus_motors,2,2.0,0.03333333333333333,1,0.0974,nan,0.0121,nan,-0.0095,nan,0.09860740337317478,nan
07_symmetric_aster_fixed_minus_motors,3,3.0,0.05,1,0.2713,nan,0.0187,nan,-0.019,nan,0.2726066396843628,nan
07_symmetric_aster_fixed_minus_motors,4,4.0,0.06666666666666667,1,0.4955,nan,0.003,nan,-0.0279,nan,0.49629392500815483,nan
07_symmetric_aster_fixed_minus_motors,5,5.0,0.08333333333333333,1,0.7327,nan,-0.0148,nan,-0.045,nan,0.7342297528703124,nan
07_symmetric_aster_fixed_minus_motors,6,6.0,0.1,1,0.8681,nan,0.0008,nan,-0.0587,nan,0.8700827202053836,nan
07_symmetric_aster_fixed_minus_motors,7,7.0,0.11666666666666667,1,0.9722,nan,0.0026,nan,-0.0654,nan,0.9744007183905398,nan
07_symmetric_aster_fixed_minus_motors,8,8.0,0.13333333333333333,1,1.0599,nan,0.0028,nan,-0.0534,nan,1.06124804357888,nan
07_symmetric_aster_fixed_minus_motors,9,9.0,0.15,1,1.1224,nan,0.0013,nan,-0.0393,nan,1.1230885717520234,nan
07_symmetric_aster_fixed_minus_motors,10,10.0,0.16666666666666666,1,1.1799,nan,0.0069,nan,-0.0389,nan,1.18056123517588,nan
07_symmetric_aster_fixed_minus_motors,11,11.0,0.18333333333333332,1,1.2294,nan,0.0111,nan,-0.0515,nan,1.2305282686716303,nan
07_symmetric_aster_fixed_minus_motors,12,12.0,0.2,1,1.2542,nan,0.0073,nan,-0.0522,nan,1.255307042121568,nan
07_symmetric_aster_fixed_minus_motors,13,13.0,0.21666666666666667,1,1.2954,nan,0.0085,nan,-0.051,nan,1.296431413534862,nan
07_symmetric_aster_fixed_minus_motors,14,14.0,0.23333333333333334,1,1.3275,nan,0.0188,nan,-0.0523,nan,1.3286628541507435,nan
07_symmetric_aster_fixed_minus_motors,15,15.0,0.25,1,1.3452,nan,0.0193,nan,-0.06,nan,1.346675733055289,nan
07_symmetric_aster_fixed_minus_motors,16,16.0,0.26666666666666666,1,1.3595,nan,0.0133,nan,-0.055,nan,1.3606770888054227,nan
07_symmetric_aster_fixed_minus_motors,17,17.0,0.2833333333333333,1,1.3626,nan,0.0144,nan,-0.0505,nan,1.3636115172584897,nan
07_symmetric_aster_fixed_minus_motors,18,18.0,0.3,1,1.3624,nan,0.0131,nan,-0.0554,nan,1.3635888419901359,nan
07_symmetric_aster_fixed_minus_motors,19,19.0,0.31666666666666665,1,1.3656,nan,0.0082,nan,-0.0428,nan,1.366295151129506,nan
