scenario,condition,replicate,run_dir,frame,time_s,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
top_two_thirds_aligned,rotatable_xlink,3,r0028,780,780.0,13.0,actin,64,15.801,3.047,12.4,18.272,1011.3,158.1
top_two_thirds_aligned,rotatable_xlink,4,r0029,0,0.0,0.0,actin,64,5.0,0.0,4.999,5.0,320.0,0.0
top_two_thirds_aligned,rotatable_xlink,4,r0029,120,120.0,2.0,actin,64,14.766,0.119,14.023,14.946,945.0,11.5
top_two_thirds_aligned,rotatable_xlink,4,r0029,180,180.0,3.0,actin,64,15.512,0.265,14.424,15.821,992.8,19.7
top_two_thirds_aligned,rotatable_xlink,4,r0029,780,780.0,13.0,actin,64,15.812,2.883,13.047,18.181,1012.0,151.6
top_two_thirds_aligned,rotatable_xlink,5,r0030,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,rotatable_xlink,5,r0030,120,120.0,2.0,actin,64,14.759,0.125,13.852,14.96,944.6,12.9
top_two_thirds_aligned,rotatable_xlink,5,r0030,180,180.0,3.0,actin,64,15.52,0.278,14.239,15.833,993.3,20.0
top_two_thirds_aligned,rotatable_xlink,5,r0030,780,780.0,13.0,actin,64,15.825,3.123,12.78,18.088,1012.8,144.8
top_two_thirds_mixed_polarity,fixed_global_xlink,1,r0031,0,0.0,0.0,actin,64,4.999,0.0,4.951,5.0,319.9,0.0
top_two_thirds_mixed_polarity,fixed_global_xlink,1,r0031,120,120.0,2.0,actin,64,14.815,0.043,13.756,14.871,948.1,3.5
top_two_thirds_mixed_polarity,fixed_global_xlink,1,r0031,180,180.0,3.0,actin,64,15.591,0.102,13.967,15.677,997.8,5.4
top_two_thirds_mixed_polarity,fixed_global_xlink,1,r0031,780,780.0,13.0,actin,64,15.953,1.766,10.09,16.489,1021.0,34.2
top_two_thirds_mixed_polarity,fixed_global_xlink,2,r0032,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,fixed_global_xlink,2,r0032,120,120.0,2.0,actin,64,14.824,0.03,13.897,14.865,948.7,2.6
top_two_thirds_mixed_polarity,fixed_global_xlink,2,r0032,180,180.0,3.0,actin,64,15.594,0.073,14.207,15.663,998.0,4.4
top_two_thirds_mixed_polarity,fixed_global_xlink,2,r0032,780,780.0,13.0,actin,64,15.946,1.926,10.547,16.574,1020.5,40.2
top_two_thirds_mixed_polarity,fixed_global_xlink,3,r0033,0,0.0,0.0,actin,64,4.999,0.0,4.96,5.0,320.0,0.0
top_two_thirds_mixed_polarity,fixed_global_xlink,3,r0033,120,120.0,2.0,actin,64,14.79,0.108,13.781,14.918,946.5,8.2
top_two_thirds_mixed_polarity,fixed_global_xlink,3,r0033,180,180.0,3.0,actin,64,15.564,0.215,14.055,15.752,996.1,12.0
top_two_thirds_mixed_polarity,fixed_global_xlink,3,r0033,780,780.0,13.0,actin,64,15.919,3.099,10.706,16.903,1018.8,62.9
top_two_thirds_mixed_polarity,fixed_global_xlink,4,r0034,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,fixed_global_xlink,4,r0034,120,120.0,2.0,actin,64,14.821,0.045,13.815,14.873,948.6,3.3
top_two_thirds_mixed_polarity,fixed_global_xlink,4,r0034,180,180.0,3.0,actin,64,15.6,0.085,14.126,15.67,998.4,4.5
top_two_thirds_mixed_polarity,fixed_global_xlink,4,r0034,780,780.0,13.0,actin,64,15.941,1.994,10.265,16.572,1020.3,40.4
top_two_thirds_mixed_polarity,fixed_global_xlink,5,r0035,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,fixed_global_xlink,5,r0035,120,120.0,2.0,actin,64,14.815,0.05,13.785,14.88,948.2,4.2
top_two_thirds_mixed_polarity,fixed_global_xlink,5,r0035,180,180.0,3.0,actin,64,15.589,0.104,14.136,15.687,997.7,6.3
top_two_thirds_mixed_polarity,fixed_global_xlink,5,r0035,780,780.0,13.0,actin,64,15.928,2.001,10.597,16.58,1019.4,41.7
top_two_thirds_mixed_polarity,nomotor_xlink,1,r0036,0,0.0,0.0,actin,64,5.0,0.0,4.976,5.0,320.0,0.0
top_two_thirds_mixed_polarity,nomotor_xlink,1,r0036,120,120.0,2.0,actin,64,14.815,0.053,13.845,14.88,948.2,4.2
top_two_thirds_mixed_polarity,nomotor_xlink,1,r0036,180,180.0,3.0,actin,64,15.591,0.117,14.11,15.685,997.8,6.0
top_two_thirds_mixed_polarity,nomotor_xlink,1,r0036,780,780.0,13.0,actin,64,15.964,1.495,9.581,16.397,1021.7,27.7
top_two_thirds_mixed_polarity,nomotor_xlink,2,r0037,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,nomotor_xlink,2,r0037,120,120.0,2.0,actin,64,14.817,0.057,13.819,14.88,948.3,4.0
top_two_thirds_mixed_polarity,nomotor_xlink,2,r0037,180,180.0,3.0,actin,64,15.589,0.122,14.083,15.684,997.7,6.1
top_two_thirds_mixed_polarity,nomotor_xlink,2,r0037,780,780.0,13.0,actin,64,15.988,0.669,12.212,16.227,1023.2,15.3
top_two_thirds_mixed_polarity,nomotor_xlink,3,r0038,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,nomotor_xlink,3,r0038,120,120.0,2.0,actin,64,14.812,0.048,13.809,14.876,948.0,4.1
top_two_thirds_mixed_polarity,nomotor_xlink,3,r0038,180,180.0,3.0,actin,64,15.58,0.119,14.057,15.691,997.1,7.1
top_two_thirds_mixed_polarity,nomotor_xlink,3,r0038,780,780.0,13.0,actin,64,15.935,1.697,9.707,16.455,1019.8,33.3
top_two_thirds_mixed_polarity,nomotor_xlink,4,r0039,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,nomotor_xlink,4,r0039,120,120.0,2.0,actin,64,14.806,0.066,13.792,14.889,947.6,5.3
top_two_thirds_mixed_polarity,nomotor_xlink,4,r0039,180,180.0,3.0,actin,64,15.574,0.154,14.061,15.707,996.8,8.5
top_two_thirds_mixed_polarity,nomotor_xlink,4,r0039,780,780.0,13.0,actin,64,15.962,1.734,10.745,16.552,1021.5,37.8
top_two_thirds_mixed_polarity,nomotor_xlink,5,r0040,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,nomotor_xlink,5,r0040,120,120.0,2.0,actin,64,14.815,0.06,13.828,14.878,948.2,4.0
top_two_thirds_mixed_polarity,nomotor_xlink,5,r0040,180,180.0,3.0,actin,64,15.589,0.125,14.117,15.685,997.7,6.1
top_two_thirds_mixed_polarity,nomotor_xlink,5,r0040,780,780.0,13.0,actin,64,15.968,1.768,8.965,16.41,1021.9,28.3
top_two_thirds_mixed_polarity,rotatable_xlink,1,r0041,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,rotatable_xlink,1,r0041,120,120.0,2.0,actin,64,14.804,0.077,13.708,14.895,947.4,5.8
top_two_thirds_mixed_polarity,rotatable_xlink,1,r0041,180,180.0,3.0,actin,64,15.566,0.176,13.958,15.719,996.2,9.8
top_two_thirds_mixed_polarity,rotatable_xlink,1,r0041,780,780.0,13.0,actin,64,15.922,3.301,9.959,16.844,1019.0,59.0
top_two_thirds_mixed_polarity,rotatable_xlink,2,r0042,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,rotatable_xlink,2,r0042,120,120.0,2.0,actin,64,14.826,0.032,13.841,14.864,948.9,2.4
top_two_thirds_mixed_polarity,rotatable_xlink,2,r0042,180,180.0,3.0,actin,64,15.6,0.069,14.027,15.657,998.4,3.6
top_two_thirds_mixed_polarity,rotatable_xlink,2,r0042,780,780.0,13.0,actin,64,15.91,1.759,12.139,16.773,1018.3,55.2
top_two_thirds_mixed_polarity,rotatable_xlink,3,r0043,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,rotatable_xlink,3,r0043,120,120.0,2.0,actin,64,14.81,0.071,13.677,14.886,947.8,4.9
top_two_thirds_mixed_polarity,rotatable_xlink,3,r0043,180,180.0,3.0,actin,64,15.581,0.162,13.953,15.698,997.2,7.5
top_two_thirds_mixed_polarity,rotatable_xlink,3,r0043,780,780.0,13.0,actin,64,15.932,1.978,11.214,16.624,1019.7,44.3
top_two_thirds_mixed_polarity,rotatable_xlink,4,r0044,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,rotatable_xlink,4,r0044,120,120.0,2.0,actin,64,14.826,0.035,13.788,14.866,948.9,2.6
top_two_thirds_mixed_polarity,rotatable_xlink,4,r0044,180,180.0,3.0,actin,64,15.603,0.061,14.268,15.658,998.6,3.5
top_two_thirds_mixed_polarity,rotatable_xlink,4,r0044,780,780.0,13.0,actin,64,15.963,1.079,11.987,16.358,1021.6,25.3
top_two_thirds_mixed_polarity,rotatable_xlink,5,r0045,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_mixed_polarity,rotatable_xlink,5,r0045,120,120.0,2.0,actin,64,14.82,0.035,13.873,14.873,948.5,3.4
top_two_thirds_mixed_polarity,rotatable_xlink,5,r0045,180,180.0,3.0,actin,64,15.591,0.087,14.146,15.675,997.8,5.4
top_two_thirds_mixed_polarity,rotatable_xlink,5,r0045,780,780.0,13.0,actin,64,15.956,0.716,11.313,16.286,1021.2,21.2
