scenario,condition,run_dir,time_min,phase_name,z_com,theta_com,vz_abs,vz_signed,Dz,top_bias,nematic_xy,shell_occ,swirl_rate_abs,speckle_length_proxy_um,seed_zone_mass_fraction,chewer_band_mass_fraction,bottom_half_mass_fraction,axial_spread_entropy
full_height_aligned,nomotor_xlink,r0008,9.416666666666668,motor,3.3256232283464566,1.0777172368008385,0.0006019685039369005,-0.0006019685039369005,1.0,0.5240963855421686,0.05081205940386109,0.010047743055555556,0.004352107367045832,1016.0,1.0000000000000007,0.09306930693069305,0.2792079207920793,0.9235967891527875
full_height_aligned,nomotor_xlink,r0008,9.433333333333334,motor,3.3331175196850396,1.0896574298926747,0.0004173228346455726,-0.0004173228346455726,1.0,0.5311572700296736,0.061425313606902544,0.009809027777777778,0.011438334217476642,1016.0,0.9999999999999997,0.09251968503937008,0.281496062992126,0.9247180363421441
full_height_aligned,nomotor_xlink,r0008,9.45,motor,3.3247885826771655,1.1005939052357918,0.002669663575329384,-0.002669663575329384,1.0,0.5164179104477612,0.07778979651791189,0.010112847222222223,0.011416306498901352,1016.0,0.9999999999999994,0.09645669291338585,0.27952755905511817,0.9257448277824046
full_height_aligned,nomotor_xlink,r0008,9.466666666666667,motor,3.327778192534381,1.066824816894872,0.0008142323994866363,-0.0008142323994866363,1.0,0.5162241887905604,0.07143866402022772,0.009917534722222222,0.009947944609635662,1018.0,1.0,0.09626719056974462,0.28094302554027506,0.9231585465990764
full_height_aligned,nomotor_xlink,r0008,9.483333333333334,motor,3.323160117878192,1.0806980160165205,0.0005591355599214864,-0.0005591355599214864,1.0,0.5176470588235295,0.07384478990511402,0.010243055555555556,0.016891354134873304,1018.0,1.0,0.09430255402750493,0.28094302554027506,0.9242638786355493
full_height_aligned,nomotor_xlink,r0008,9.5,motor,3.326659921414538,1.1006075251646186,0.00035618860510799877,0.00035618860510799877,1.0,0.5249266862170088,0.03276606186762497,0.010047743055555556,0.020196269938617784,1018.0,1.0,0.09430255402750493,0.2789783889980354,0.926100957987707
full_height_aligned,nomotor_xlink,r0008,9.516666666666666,motor,3.323872495088408,1.121090555893756,0.0008111001964634657,-0.0008111001964634657,1.0,0.5249266862170088,0.05012611817158541,0.009982638888888888,0.007457871609239386,1018.0,0.9999999999999998,0.09430255402750493,0.28094302554027506,0.9211358420949386
full_height_aligned,nomotor_xlink,r0008,9.533333333333333,motor,3.325037721021611,1.1155232683830973,0.0024660117878190224,-0.0024660117878190224,1.0,0.5162241887905604,0.06870229865037271,0.009917534722222222,0.013884342072311262,1018.0,0.9999999999999998,0.09430255402750491,0.28094302554027506,0.9242038691561383
full_height_aligned,nomotor_xlink,r0008,9.55,motor,3.31894047151277,1.0933218717491335,0.003851178781925091,-0.003851178781925091,1.0,0.5502958579881657,0.07792540528997856,0.010026041666666667,0.010401878030257716,1018.0,0.9999999999999997,0.09645669291338584,0.27952755905511806,0.9274658407844163
full_height_aligned,nomotor_xlink,r0008,9.566666666666666,motor,3.3173353634577607,1.094719512322582,0.0008658153241649647,-0.0008658153241649647,1.0,0.5575221238938053,0.030679305347351284,0.009787326388888889,0.0070743501456990154,1018.0,1.0,0.0962671905697446,0.2789783889980353,0.9271485650658993
full_height_aligned,nomotor_xlink,r0008,9.583333333333332,motor,3.3172088408644402,1.1074705720405316,0.005089783889980604,-0.005089783889980604,1.0,0.5621301775147929,0.02833475307450931,0.010112847222222223,0.016366444188670948,1018.0,1.0,0.0962671905697446,0.2789783889980353,0.927791704264971
full_height_aligned,nomotor_xlink,r0008,9.6,motor,3.3071557956777995,1.1274524006999238,0.017516306483300603,-0.017516306483300603,1.0,0.5929203539823009,0.034459177881171296,0.009917534722222222,0.006580828297215402,1018.0,0.9999999999999998,0.0962671905697446,0.28094302554027506,0.9260262289970893
full_height_aligned,nomotor_xlink,r0008,9.616666666666667,motor,3.282176227897839,1.1206322286349624,0.01565068762278954,-0.01565068762278954,1.0,0.5905044510385756,0.03544792144792077,0.010112847222222223,0.007159731100663702,1018.0,0.9999999999999998,0.09823182711198429,0.2829076620825148,0.9251308629165158
full_height_aligned,nomotor_xlink,r0008,9.633333333333333,motor,3.2758544204322204,1.1417718629012512,0.0014407246337575508,0.0014407246337575508,1.0,0.5892857142857143,0.044782085476494406,0.009917534722222222,0.03803356421653181,1018.0,1.0000000000000002,0.09823182711198428,0.2848722986247544,0.9273289168538574
full_height_aligned,nomotor_xlink,r0008,9.649999999999999,motor,3.285057677165354,1.196699357068026,0.008212840137370225,-0.008212840137370225,1.0,0.5845697329376854,0.049870887383585576,0.009982638888888888,0.01398638627617832,1016.0,0.9999999999999997,0.09448818897637794,0.2834645669291339,0.9220994419807672
full_height_aligned,nomotor_xlink,r0008,9.666666666666668,motor,3.25942874015748,1.1697446354536079,0.01135511811023604,-0.01135511811023604,1.0,0.5833333333333334,0.04481661221814482,0.010004340277777777,0.012487554100387377,1016.0,0.9999999999999997,0.09448818897637797,0.2854330708661417,0.9258686156800873
