model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
rotatable,mpc12,c10_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/job11/save/r0025,400,0.009560635356359143,0.0032870863871213686,0.016476264418810838,6.833333333333333,2.615228953849151,0.035,nan,0.09418070444104054,0.09418070444104054,0.003896119696547938,0.0030991309038652425,0.0029490585906836375
rotatable,mpc12,c10_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/job11/save/r0028,400,0.009560635356359143,0.0032873719561782116,0.013073979591836843,11.0,2.62077262618341,0.03,nan,-0.042727575476902147,0.042727575476902147,0.0027757548101651286,0.0037306384441626876,0.00324456636211627
rotatable,mpc12,c10_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/job11/save/r0002,400,0.009853449874497095,0.0030472872670414325,0.01545567413731773,6.666666666666667,2.435163146966481,0.03,6.633333333333334,0.33973333333333333,0.33973333333333333,0.0033268069369614566,0.0031302311338022686,0.0026983985591436596
rotatable,mpc12,c10_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/job11/save/r0005,400,0.009853449874497095,0.0029546266535474715,0.01472348207775685,2.3333333333333335,2.348980535457407,0.02,nan,0.41540526319802984,0.41540526319802984,0.0028984565392400755,0.002806521329467953,0.0031752376628185245
rotatable,mpc12,c10_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/job11/save/r0008,400,0.009853449874497095,0.00286257396341027,0.013759531664791227,1.5666666666666667,2.278421395307791,0.0225,nan,0.21799656782100274,0.21799656782100274,0.0033053000669538805,0.002856311868894339,0.0024675732600186687
rotatable,mpc12,c10_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/job11/save/r0011,400,0.009853449874497095,0.003336799596293986,0.013094960782279993,1.2333333333333334,2.662114937314591,0.03,1.1666666666666667,0.17056945183608319,0.17056945183608319,0.003963719236656366,0.0029707028797582077,0.0031865024228378315
rotatable,mpc12,c10_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/job11/save/r0014,400,0.009853449874497095,0.002926577178083245,0.01903234846168904,3.066666666666667,2.3231627981190046,0.0125,nan,-0.1357181218035044,0.1357181218035044,0.0031748999372485953,0.0031023703355227477,0.002499711666964147
rotatable,mpc12,c10_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/job11/save/r0017,400,0.009853449874497095,0.0024692216527496,0.011266645577038242,5.566666666666666,1.9615734290802125,0.0075,nan,-0.1280295047418332,0.1280295047418332,0.003042486783853651,0.0022184247592194404,0.0022356413735751105
rotatable,mpc12,c10_m12,1:8,r0020,/home/thekaka/project/cytosim/clu/job11/save/r0020,400,0.009853449874497095,0.0030816479552574967,0.015153485952133172,6.5,2.449317712013596,0.025,nan,-0.26847034339229925,0.26847034339229925,0.0033246768432394457,0.0028297028592070236,0.003149368006690465
rotatable,mpc12,c10_m12,1:8,r0023,/home/thekaka/project/cytosim/clu/job11/save/r0023,400,0.009853449874497095,0.0035784136207084915,0.019773299748110856,0.4666666666666667,2.8553001660882043,0.045,0.3,-0.3438287153652385,0.3438287153652385,0.0036715682149190223,0.0030287730302547447,0.004123151726487186
rotatable,mpc12,c10_m12,1:8,r0026,/home/thekaka/project/cytosim/clu/job11/save/r0026,400,0.009853449874497095,0.0029561440908406245,0.014826514458034984,9.466666666666667,2.360446849962818,0.0175,nan,0.010554089709762349,0.010554089709762349,0.0029530498459857976,0.0027294208372836692,0.0032185616723006817
rotatable,mpc12,c10_m12,1:8,r0029,/home/thekaka/project/cytosim/clu/job11/save/r0029,400,0.009853449874497095,0.0034696512993409724,0.019659323770491816,4.366666666666666,2.774558412788549,0.045,nan,1.0394286310552547,1.0394286310552547,0.003631232403890784,0.0037201246858511576,0.003036069929738259
